,Reporting_Entity,Facility_Name,State,Electricity_Production_GJ,Electricity_Production_MWh,Primary_Fuel,Year,Lat,Lng,Renewable
0,ACCIONA ENERGY OCEANIA PTY. LTD.,Gunning Wind Farm,NSW,"601,740","167,150",Wind,2017-2018,-34.6905625,149.4270092,True
1,ACCIONA ENERGY OCEANIA PTY. LTD.,Mt Gellibrand Wind Farm,VIC,"4,320","1,200",Wind,2017-2018,-38.2327778,143.7922222,True
2,ACCIONA ENERGY OCEANIA PTY. LTD.,Waubra Wind Farm,VIC,"2,317,673","643,798",Wind,2017-2018,-37.3946388,143.6386011,True
3,AGL ENERGY LIMITED,Banimboola Hydro,VIC,"11,089","3,080",Hydro,2017-2018,-36.5343144,147.459344,True
4,AGL ENERGY LIMITED,Bayswater Power Station,NSW,"55,964,880","15,545,800",Black Coal,2017-2018,-32.3925781,150.9490509,False
5,AGL ENERGY LIMITED,Bogong Power Station,VIC,"290,885","80,801",Hydro,2017-2018,-36.8057885,147.2281158,True
6,AGL ENERGY LIMITED,Broken Hill Solar Plant,NSW,"470,545","130,707",Solar,2017-2018,-31.985972,141.3929982,True
7,AGL ENERGY LIMITED,Burrendong Hydro,NSW,"130,417","36,227",Hydro,2017-2018,-32.6801776,149.1386215,True
8,AGL ENERGY LIMITED,Copeton Hydro,NSW,"148,524","41,257",Hydro,2017-2018,-29.8466241,150.8866281,True
9,AGL ENERGY LIMITED,Dartmouth Hydro,VIC,"201,611","56,003",Hydro,2017-2018,-36.5324694,147.4961766,True
10,AGL ENERGY LIMITED,Eildon Hydro,VIC,"668,859","185,794",Hydro,2017-2018,-37.2345677,145.9089916,True
11,AGL ENERGY LIMITED,Glenbawn Hydro,NSW,"70,572","19,603",Hydro,2017-2018,-32.1080329,150.985732,True
12,AGL ENERGY LIMITED,Glenorchy Landfill Generation,TAS,"32,986","9,163",Landfill Gas,2017-2018,-42.833056,147.275833,True
13,AGL ENERGY LIMITED,Hobart Landfill Generation,TAS,"22,430","6,231",Landfill Gas,2017-2018,-42.8826055,147.3257196,True
14,AGL ENERGY LIMITED,Hunter Valley Gas Turbines,NSW,"3,073",854,Gas,2017-2018,-32.1932173,151.700565,False
15,AGL ENERGY LIMITED,Kemps Creek Landfill Generation,NSW,"47,007","13,058",Landfill Gas,2017-2018,-33.8805637,150.7927925,True
16,AGL ENERGY LIMITED,Kincumber Landfill Generation,NSW,"7,588","2,108",Landfill Gas,2017-2018,-33.4689844,151.3898882,True
17,AGL ENERGY LIMITED,Liddell Power Station,NSW,"30,667,257","8,518,683",Black Coal,2017-2018,-32.3715056,150.9773385,False
18,AGL ENERGY LIMITED,Loy Yang Power Station and Mine,VIC,"61,026,883","16,951,912",Brown Coal,2017-2018,-38.2537069,146.5756631,False
19,AGL ENERGY LIMITED,Macarthur Wind Farm,VIC,"3,770,990","1,047,497",Wind,2017-2018,-38.0490795,142.1915163,True
20,AGL ENERGY LIMITED,McKay Creek Hydro,VIC,"357,923","99,423",Hydro,2017-2018,45.5250549,-123.0049896,True
21,AGL ENERGY LIMITED,Moranbah Power Station,QLD,"197,704","54,918",Coal Seam Methane,2017-2018,-22.0060858,148.0398332,False
22,AGL ENERGY LIMITED,Nyngan Solar Plant,NSW,"902,651","250,736",Solar,2017-2018,-31.5662057,147.0707349,True
23,AGL ENERGY LIMITED,Oaklands Hill Wind Farm,VIC,"677,832","188,287",Wind,2017-2018,-37.683252,142.551115,True
24,AGL ENERGY LIMITED,Pindari Hydro,NSW,"12,970","3,603",Hydro,2017-2018,-31.2532183,146.921099,True
25,AGL ENERGY LIMITED,Rockingham Landfill Generation,WA,"84,406","23,446",Landfill Gas,2017-2018,-32.2780969,115.7351399,True
26,AGL ENERGY LIMITED,Rubicon Hydro Scheme,VIC,"150,908","41,919",Hydro,2017-2018,-37.3259849,145.8614196,True
27,AGL ENERGY LIMITED,Shoalhaven Landfill Generation,NSW,"6,308","1,752",Landfill Gas,2017-2018,-35.0810677,150.4892292,True
28,AGL ENERGY LIMITED,Torrens Island Power Station,SA,"10,072,272","2,797,853",Gas,2017-2018,-34.8065986,138.5231933,False
29,AGL ENERGY LIMITED,Wattle Point Wind Farm,SA,"977,706","271,585",Wind,2017-2018,-35.1117422,137.7212617,True
30,AGL ENERGY LIMITED,Werribee Biogas Generator,VIC,"231,340","64,261",Biogas,2017-2018,-37.8997995,144.6641401,True
31,AGL ENERGY LIMITED,Woy Woy Landfill Generation,NSW,"27,416","7,616",Landfill Gas,2017-2018,-33.4887953,151.3259426,True
32,AGL ENERGY LIMITED,Yarrawonga Hydro,VIC,"134,344","37,318",Hydro,2017-2018,-36.0260723,146.0003241,True
33,ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,WA,"7,760,182","2,155,606",Gas,2017-2018,-32.6462926,115.9464342,False
34,APT PIPELINES LIMITED,Daandine Power Station,QLD,"787,397","218,721",Coal Seam Methane,2017-2018,-27.0861935,150.9425679,False
35,APT PIPELINES LIMITED,Diamantina Power Station,QLD,"5,765,248","1,601,458",Gas,2017-2018,-20.7830295,139.4829711,False
36,APT PIPELINES LIMITED,Emu Downs Solar Farm,WA,"97,410","27,058",Solar,2017-2018,-30.48468,115.415795,True
37,APT PIPELINES LIMITED,Emu Downs Wind Farm,WA,"864,702","240,195",Wind,2017-2018,-30.4756515,115.381241,True
38,ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,QLD,"925,917","257,199",Coal Seam Methane,2017-2018,-27.1107842,150.9054673,False
39,ATCO AUSTRALIA PTY LTD,Karratha Power Station,WA,"284,128","78,924",Gas,2017-2018,-20.7336955,116.8447057,False
40,AXIA ENERGY AUSTRALIA PTY LTD,Smithfield Power Partnership,NSW,"259,179","71,994",Gas,2017-2018,-31.2532183,146.921099,False
41,BALD HILLS WF HOLDINGS PTY LTD,Bald Hills Wind Farm Pty Ltd,VIC,"1,306,751","362,986",Wind,2017-2018,-38.7478299,145.9494813,True
42,BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,New Gullen Range Wind Farm Pty Ltd,NSW,"1,825,008","506,947",Wind,2017-2018,-31.2532183,146.921099,True
43,BHP BILLITON IRON ORE PTY. LTD.,Yarnima Power Station,WA,"2,613,641","726,011",Gas,2017-2018,-23.3435575,119.7109647,False
44,BLUEWATERS POWER 1 PTY LTD,Bluewaters Power 1,WA,"5,796,946","1,610,263",Black Coal,2017-2018,-33.3297691,116.2265472,False
45,BLUEWATERS POWER 2 PTY LTD,Bluewaters Power 2,WA,"6,232,601","1,731,278",Black Coal,2017-2018,-33.3297691,116.2265472,False
46,BPIH PTY LIMITED,Enwave Central Park Pty Ltd,NSW,"7,740","2,150",Gas,2017-2018,-34.55479589999999,150.7918204,False
47,BPIH PTY LIMITED,Enwave Mascot Pty Ltd,NSW,"104,473","29,020",Gas,2017-2018,-31.2532183,146.921099,False
48,C S ENERGY LIMITED,Callide B Power Station,QLD,"19,818,112","5,505,031",Black Coal,2017-2018,-22.575197,144.0847926,False
49,C S ENERGY LIMITED,Callide C Power Station,QLD,"21,023,694","5,839,915",Black Coal,2017-2018,-24.2927187,150.4933758,False
50,C S ENERGY LIMITED,Kogan Creek Power Station,QLD,"18,916,535","5,254,593",Black Coal,2017-2018,-26.9146137,150.746994,False
51,C S ENERGY LIMITED,Wivenhoe Power Station,QLD,"129,318","35,922",Hydro,2017-2018,-27.3724152,152.6320267,True
52,CAPE BYRON MANAGEMENT PTY LTD,Broadwater Power Plant,NSW,"846,961","235,267",Bagasse,2017-2018,-29.0145838,153.4300366,True
53,CAPE BYRON MANAGEMENT PTY LTD,Condong Power Plant,NSW,"774,424","215,118",Bagasse,2017-2018,-28.3117883,153.4363815,True
54,CECEP WIND POWER AUSTRALIA HOLDING PTY LTD,White Rock Wind Farm Pty Ltd,NSW,"1,245,731","346,036",Wind,2017-2018,-29.7560103,151.5521958,True
55,CLARKE ENERGY (AUSTRALIA) PTY LTD,Daandine Power Station,QLD,"787,397","218,721",Coal Seam Methane,2017-2018,-27.0861935,150.9425679,False
56,CONTRACT POWER AUSTRALIA PTY LTD,Cue Town Powerstation,WA,"10,727","2,980",Diesel,2017-2018,-27.4245191,117.8969772,False
57,CONTRACT POWER AUSTRALIA PTY LTD,Meekatharra Town Powerstation,WA,"24,219","6,728",Diesel,2017-2018,-26.5956611,118.4935984,False
58,CONTRACT POWER AUSTRALIA PTY LTD,Mt Magnet Town Powerstation,WA,"13,739","3,816",Gas,2017-2018,-28.0652329,117.8487476,False
59,CONTRACT POWER AUSTRALIA PTY LTD,Norseman Gold Power Station,WA,"15,562","4,323",Diesel,2017-2018,-32.1977913,121.7788563,False
60,CONTRACT POWER AUSTRALIA PTY LTD,Sandstone Town Powerstation,WA,"2,462",684,Diesel,2017-2018,-28.6401506,119.0459927,False
61,CONTRACT POWER AUSTRALIA PTY LTD,Wiluna Town Powerstation,WA,"8,725","2,424",Diesel,2017-2018,-26.5943011,120.227356,False
62,CONTRACT POWER AUSTRALIA PTY LTD,Yalgoo Town Powerstation,WA,"3,676","1,021",Diesel,2017-2018,-28.3508702,116.7658255,False
63,CULLERIN RANGE WIND FARM PTY LTD,Cullerin Range Wind Farm,NSW,"405,688","112,691",Wind,2017-2018,-34.8180225,149.399069,True
64,CWF HOLDINGS PTY LTD,Collgar Wind Farm,WA,"2,575,799","715,500",Wind,2017-2018,-31.9509006,115.8496117,True
65,CWP RENEWABLES PTY LTD,Boco Rock Wind Farm Pty Ltd,NSW,"1,339,270","372,019",Wind,2017-2018,-36.5769554,149.125867,True
66,DIF INFRA 4 HOLDINGS AUSTRALIA PTY LTD,Royalla Solar Farm ,ACT,"141,150","39,208",Solar,2017-2018,-35.4897929,149.1430018,True
67,EDL (OCI) PTY LIMITED,Glennies Creek WCMG Power Station,NSW,"278,299","77,305",Waste Coal Mine Gas,2017-2018,-32.4612156,151.1069328,False
68,EDL (OCI) PTY LIMITED,Oaky Creek II WCMG Power Station,QLD,"378,474","105,132",Waste Coal Mine Gas,2017-2018,-28.1913043,152.9375365,False
69,EDL (OCI) PTY LIMITED,Oaky Creek WCMG Power Station,QLD,"481,208","133,669",Waste Coal Mine Gas,2017-2018,-28.1913043,152.9375365,False
70,EDL (TT) PTY LIMITED,Tahmoor WCMG Power Station,NSW,"118,651","32,959",Waste Coal Mine Gas,2017-2018,-34.2246566,150.5929466,False
